case_type,people_total_tested_count,cases,difference,date,combined_key,country_region,province_state,admin2,iso2,iso3,fips,lat,long,population_count,people_hospitalized_cumulative_count,data_source,prep_flow_runtime
Confirmed,,8,3,2020-03-13,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-05,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,1404,78,2020-04-07,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-09,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,3,0,2020-03-07,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-01-25,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,40,4,2020-04-10,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-26,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,3,0,2020-03-11,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,413,72,2020-03-28,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-02-07,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-15,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,53,6,2020-04-15,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,111,0,2020-04-27,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-01-28,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-22,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-01-30,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-08,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2643,152,2020-04-23,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
